team,year,leag,o_fgm,o_fga,o_ftm,o_fta,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_3pm,o_3pa,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_3pm,d_3pa,d_pts,pace,won,lost,class
NOH,2002,N,2914,6695,1467,1910,1097,2475,3572,1807,1767,656,1151,394,404,1075,7699,2857,6518,1474,1925,909,2368,3277,1630,1754,647,1159,427,338,1001,7526,91.892624,47,35,1
NYK,2002,N,2967,6725,1320,1620,842,2376,3218,1800,1888,579,1114,255,606,1582,7860,2961,6478,1691,2193,935,2613,3548,1732,1630,627,1133,297,358,1053,7971,92.776955,37,45,0
ORL,2002,N,2947,6763,1616,2079,958,2392,3350,1676,1888,696,1138,300,568,1590,8078,3007,6602,1648,2150,970,2596,3566,1837,1824,643,1285,407,405,1212,8067,95.013405,42,40,1
PHI,2002,N,2975,6640,1748,2255,1042,2415,3457,1771,1804,844,1157,284,245,787,7943,2876,6363,1547,2035,908,2400,3308,1809,1884,639,1355,506,453,1278,7752,93.3927,48,34,1
PHO,2002,N,3005,6776,1430,1928,1049,2440,3489,1719,1801,665,1165,404,394,1149,7834,2913,6658,1479,1933,1031,2486,3517,1824,1763,639,1240,446,436,1361,7741,93.42437,44,38,1
POR,2002,N,2987,6491,1450,1947,992,2378,3370,1860,1634,725,1185,316,379,1150,7803,2942,6540,1267,1659,913,2291,3204,1863,1670,681,1201,394,437,1285,7588,91.253426,50,32,1
SAC,2002,N,3242,6990,1367,1832,900,2751,3651,2034,1666,735,1171,457,491,1288,8342,2991,7125,1454,1962,1145,2614,3759,1758,1635,684,1195,351,373,1166,7809,97.33785999999999,59,23,1
SAS,2002,N,2908,6297,1591,2194,939,2556,3495,1636,1672,629,1260,529,449,1270,7856,2862,6703,1334,1737,1029,2322,3351,1559,1914,665,1177,422,354,1043,7412,91.857811,60,22,1
SEA,2002,N,2887,6599,1325,1780,963,2385,3348,1775,1713,679,1026,295,456,1291,7555,2871,6424,1351,1821,938,2462,3400,1703,1671,500,1158,410,472,1371,7565,89.995102,40,42,0
TOR,2002,N,2847,6664,1350,1879,1023,2355,3378,1583,1761,609,1106,392,409,1193,7453,3037,6592,1490,1964,976,2601,3577,1729,1701,604,1079,403,370,986,7934,91.46060899999999,24,58,0
UTA,2002,N,2894,6189,1750,2349,1021,2381,3402,2103,1837,708,1304,467,224,641,7762,2751,6346,1627,2143,1011,2120,3131,1601,1950,723,1253,429,437,1251,7566,90.877747,47,35,1
WAS,2002,N,2816,6394,1617,2077,917,2395,3312,1612,1644,621,1035,390,253,811,7502,2877,6507,1382,1792,949,2447,3396,1776,1804,612,1112,346,449,1242,7585,89.958359,37,45,0
ATL,2003,N,2829,6529,1534,1976,997,2506,3503,1648,1826,627,1278,408,419,1248,7611,2968,6740,1574,2072,1048,2485,3533,1803,1699,731,1086,409,482,1345,7992,92.800003,28,54,0
BOS,2003,N,2843,6415,1572,2095,851,2440,3291,1683,1837,770,1289,331,553,1599,7811,2894,6627,1587,2157,1070,2524,3594,1882,1819,719,1334,407,555,1534,7930,94.300003,36,46,1
CHI,2003,N,2798,6753,1330,1834,1048,2519,3567,1793,1911,659,1249,394,429,1256,7355,2882,6611,1673,2238,1011,2682,3693,1890,1684,694,1190,442,439,1236,7876,93.800003,23,59,0
CLE,2003,N,2922,6753,1528,2030,1118,2619,3737,1808,1742,585,1166,537,247,786,7619,2956,6759,1491,1990,970,2474,3444,1783,1655,635,1018,434,431,1162,7834,92.900002,35,47,0
DAL,2003,N,3322,7230,1475,1854,1174,2538,3712,1963,1609,656,965,437,507,1456,8626,3133,6824,1462,1960,1009,2562,3571,1937,1689,582,1178,382,534,1471,8262,94.800003,52,30,1
DEN,2003,N,2993,6763,1655,2159,1083,2387,3470,1794,1804,745,1201,520,331,985,7972,3019,6662,1470,2020,1056,2465,3521,1931,1895,664,1343,479,376,1056,7884,94.699997,43,39,1
DET,2003,N,2747,6315,1561,2074,1014,2492,3506,1702,1664,659,1179,570,333,969,7388,2633,6378,1287,1730,980,2353,3333,1561,1877,647,1209,410,356,1180,6909,89.199997,54,28,1
GSW,2003,N,2875,6511,1470,2028,1002,2533,3535,1681,1691,576,1154,389,429,1283,7649,2948,6630,1399,1875,981,2532,3513,1762,1801,666,1101,417,414,1107,7709,91.400002,37,45,0
HOU,2003,N,2738,6195,1371,1774,847,2647,3494,1579,1762,560,1295,443,515,1406,7362,2636,6405,1491,2024,908,2351,3259,1689,1694,710,1048,359,457,1227,7220,89.800003,45,37,1
